-7.519001e+01 -7.518993e+01 -7.518976e+01 -7.518966e+01 -7.519001e+01 3.995142e+01 3.995149e+01 3.995159e+01 3.995141e+01 3.995142e+01
-7.518977e+01 -7.518966e+01 -7.518955e+01 -7.518964e+01 -7.518977e+01 3.995158e+01 3.995162e+01 3.995157e+01 3.995146e+01 3.995158e+01
-7.518956e+01 -7.518949e+01 -7.518941e+01 -7.518967e+01 -7.518956e+01 3.995156e+01 3.995151e+01 3.995142e+01 3.995140e+01 3.995156e+01
-7.518941e+01 -7.518937e+01 -7.518934e+01 -7.518966e+01 -7.518941e+01 3.995142e+01 3.995136e+01 3.995127e+01 3.995141e+01 3.995142e+01
-7.519001e+01 -7.519004e+01 -7.518984e+01 -7.518966e+01 -7.519001e+01 3.995142e+01 3.995119e+01 3.995105e+01 3.995142e+01 3.995142e+01
-7.518985e+01 -7.518959e+01 -7.518936e+01 -7.518937e+01 -7.518985e+01 3.995105e+01 3.995102e+01 3.995109e+01 3.995129e+01 3.995105e+01
-7.519001e+01 -7.518988e+01 -7.518970e+01 -7.519019e+01 -7.519001e+01 3.995148e+01 3.995157e+01 3.995164e+01 3.995151e+01 3.995148e+01
-7.518970e+01 -7.518963e+01 -7.519006e+01 -7.519020e+01 -7.518970e+01 3.995164e+01 3.995166e+01 3.995168e+01 3.995151e+01 3.995164e+01
-7.518963e+01 -7.518953e+01 -7.518945e+01 -7.518946e+01 -7.518963e+01 3.995166e+01 3.995161e+01 3.995154e+01 3.995168e+01 3.995166e+01
-7.518945e+01 -7.518939e+01 -7.518932e+01 -7.518923e+01 -7.518945e+01 3.995154e+01 3.995147e+01 3.995137e+01 3.995155e+01 3.995154e+01
